County Name,State Name,State Geography ID,Technology,Geography ID,Technical Generation Potential - MWh MWh
Pickens,Alabama,G01,land_based_wind,G0101070,4229740.63
Pickens,Alabama,G01,csp,G0101070,6270066.03
Pickens,Alabama,G01,residential_pv,G0101070,40869.82
Pickens,Alabama,G01,commercial_pv,G0101070,81137.05
Pickens,Alabama,G01,distributed_wind,G0101070,6657559.55
Pike,Alabama,G01,utility_pv,G0101090,49223654.54
Pike,Alabama,G01,land_based_wind,G0101090,3049464.82
Pike,Alabama,G01,csp,G0101090,2481820.37
Pike,Alabama,G01,residential_pv,G0101090,57124.75
Pike,Alabama,G01,commercial_pv,G0101090,93813.79
Pike,Alabama,G01,distributed_wind,G0101090,5975499.71
Randolph,Alabama,G01,utility_pv,G0101110,24073788.84
Randolph,Alabama,G01,land_based_wind,G0101110,3943001.38
Randolph,Alabama,G01,csp,G0101110,0.0
Randolph,Alabama,G01,residential_pv,G0101110,51039.39
Randolph,Alabama,G01,commercial_pv,G0101110,95147.84
Randolph,Alabama,G01,distributed_wind,G0101110,5609116.59
Russell,Alabama,G01,utility_pv,G0101130,53581272.98
Russell,Alabama,G01,land_based_wind,G0101130,2588123.1
Russell,Alabama,G01,csp,G0101130,2159397.03
Russell,Alabama,G01,residential_pv,G0101130,100248.21
Russell,Alabama,G01,commercial_pv,G0101130,119387.45
Russell,Alabama,G01,distributed_wind,G0101130,3713163.55
St. Clair,Alabama,G01,utility_pv,G0101150,25066355.96
St. Clair,Alabama,G01,land_based_wind,G0101150,2879488.79
St. Clair,Alabama,G01,csp,G0101150,0.0
St. Clair,Alabama,G01,residential_pv,G0101150,188353.18
St. Clair,Alabama,G01,commercial_pv,G0101150,273332.04
St. Clair,Alabama,G01,distributed_wind,G0101150,5219322.71
Shelby,Alabama,G01,utility_pv,G0101170,37841866.75
Shelby,Alabama,G01,land_based_wind,G0101170,3744633.58
Shelby,Alabama,G01,csp,G0101170,2254592.91
Shelby,Alabama,G01,residential_pv,G0101170,477827.33
Shelby,Alabama,G01,commercial_pv,G0101170,533805.77
Shelby,Alabama,G01,distributed_wind,G0101170,7744364.05
Sumter,Alabama,G01,utility_pv,G0101190,77869966.82
Sumter,Alabama,G01,land_based_wind,G0101190,3718387.45
Sumter,Alabama,G01,csp,G0101190,18805142.14
Sumter,Alabama,G01,residential_pv,G0101190,23288.61
